qualtrics_file_No,test_id,annotation,response
10,197,BEFORE,correct
10,34,BEFORE,incorrect
10,416,BEFORE,incorrect
10,82,BEFORE,correct
10,83,AFTER,incorrect
10,43,BEFORE,incorrect
10,32,BEFORE,incorrect
10,231,BEFORE,incorrect
10,107,BEFORE,incorrect
10,84,BEFORE,correct
11,165,AFTER,correct
11,26,BEFORE,incorrect
11,271,EQUAL,incorrect
11,132,BEFORE,incorrect
11,327,EQUAL,correct
11,260,BEFORE,incorrect
11,374,BEFORE,incorrect
11,330,BEFORE,incorrect
11,58,BEFORE,incorrect
11,112,BEFORE,correct
12,264,BEFORE,incorrect
12,415,AFTER,incorrect
12,287,BEFORE,correct
12,106,BEFORE,incorrect
12,171,VAGUE,incorrect
12,325,AFTER,incorrect
12,280,BEFORE,incorrect
12,81,AFTER,incorrect
12,201,BEFORE,incorrect
12,10,BEFORE,correct
13,37,BEFORE,correct
13,195,AFTER,incorrect
13,126,BEFORE,incorrect
13,405,AFTER,correct
13,116,BEFORE,incorrect
13,312,BEFORE,incorrect
13,337,EQUAL,correct
13,333,AFTER,incorrect
13,89,AFTER,correct
13,183,BEFORE,incorrect
14,29,BEFORE,incorrect
14,413,BEFORE,incorrect
14,209,VAGUE,incorrect
14,427,VAGUE,incorrect
14,124,BEFORE,correct
14,146,BEFORE,incorrect
14,236,BEFORE,correct
14,158,BEFORE,correct
14,185,AFTER,incorrect
14,92,BEFORE,correct
